Disease Name,Severity Level,Symptoms,Recommended Medications,Required Food,Safety Precautions,Recommended Doctor,Treatment Plan,Follow-Up Recommendations,Patient Education,Recovery Time
Chronic Kidney Disease (CKD),"{'Mild': 'Early stages with minimal symptoms.', 'Moderate to Severe': 'Advanced stages with significant kidney function loss.'}","{'Early': 'Fatigue, swelling, changes in urine output.', 'Progressing': 'Increased swelling, high blood pressure, back pain.', 'Severe': 'Severe fluid retention, high potassium levels, kidney failure.'}","{'First-Line': ['ACE inhibitors (e.g., Lisinopril)', 'diuretics (e.g., Furosemide)'], 'Alternative': ['Erythropoiesis-stimulating agents (e.g., Epoetin alfa)']}","['Low-Protein Diet', 'Low-Sodium Diet']","['Regular Monitoring', 'Blood Pressure Management']",['Nephrologist'],"{'Initial Care': 'Medication, dietary changes.', 'Ongoing Care': 'Regular kidney function tests, medication adjustments.'}","['Regular blood tests', 'Kidney function assessments']","['Kidney Health', 'Dietary Restrictions']",Chronic Condition: Requires ongoing management to prevent progression.
Rheumatoid Arthritis,"{'Mild': 'Intermittent symptoms, manageable with medication.', 'Moderate to Severe': 'Persistent joint pain, significant mobility issues.'}","{'Early': 'Joint pain, stiffness, especially in the morning.', 'Progressing': 'Swelling in joints, joint deformities.', 'Severe': 'Severe pain, significant joint damage, loss of function.'}","{'First-Line': ['Disease-modifying antirheumatic drugs (e.g., Methotrexate)', 'NSAIDs (e.g., Ibuprofen)'], 'Alternative': ['Biologics (e.g., Adalimumab)', 'JAK inhibitors (e.g., Tofacitinib)']}","['Anti-Inflammatory Diet', 'Balanced Diet']","['Regular Monitoring', 'Joint Protection']",['Rheumatologist'],"{'Initial Care': 'Medication, physical therapy.', 'Ongoing Care': 'Regular monitoring, adjustments to medication.'}","['Regular joint assessments', 'Blood tests']","['Joint Care', 'Disease Management']",Chronic Condition: Requires lifelong management to control symptoms and prevent joint damage.
Parkinson's Disease,"{'Mild': 'Early symptoms, manageable with medication.', 'Moderate to Severe': 'Progressive symptoms, significant motor function loss.'}","{'Early': 'Tremors, stiffness, slow movement.', 'Progressing': 'Difficulty walking, balance issues.', 'Severe': 'Severe tremors, significant motor impairment, cognitive decline.'}","{'First-Line': ['Levodopa/carbidopa', 'dopamine agonists (e.g., Pramipexole)'], 'Alternative': ['MAO-B inhibitors (e.g., Selegiline)', 'COMT inhibitors (e.g., Entacapone)']}","['Balanced Diet', 'Hydration']","['Fall Prevention', 'Regular Monitoring']",['Neurologist'],"{'Initial Care': 'Medication, physical therapy.', 'Ongoing Care': 'Regular monitoring, adjustments to medication.'}","['Regular neurological assessments', 'Physical therapy']","['Disease Management', 'Fall Prevention']",Chronic Condition: Requires ongoing management to control symptoms and maintain quality of life.
Alzheimer's Disease,"{'Mild': 'Early cognitive decline, manageable with support.', 'Moderate to Severe': 'Significant cognitive impairment, severe memory loss.'}","{'Early': 'Memory loss, difficulty with familiar tasks.', 'Progressing': 'Increased memory loss, confusion, disorientation.', 'Severe': 'Severe cognitive decline, inability to perform daily activities.'}","{'First-Line': ['Cholinesterase inhibitors (e.g., Donepezil)', 'NMDA receptor antagonists (e.g., Memantine)'], 'Alternative': ['Antidepressants (for behavioral symptoms)']}","['Balanced Diet', 'Hydration']","['Safe Environment', 'Regular Monitoring']","['Neurologist', 'Geriatrician']","{'Initial Care': 'Medication, support for cognitive functions.', 'Ongoing Care': 'Regular monitoring, adjustments to care plan.'}","['Regular cognitive assessments', 'Supportive care']","['Cognitive Support', 'Caregiver Resources']",Progressive Condition: Requires lifelong management to maintain quality of life and support.
Psoriasis,"{'Mild': 'Manageable with topical treatments.', 'Moderate to Severe': 'Persistent symptoms, may require systemic treatments.'}","{'Early': 'Red patches of skin, itching, scaling.', 'Progressing': 'Thicker plaques, more widespread skin involvement.', 'Severe': 'Extensive skin lesions, significant discomfort.'}","{'First-Line': ['Topical corticosteroids (e.g., Hydrocortisone)', 'Topical vitamin D analogs (e.g., Calcipotriene)'], 'Alternative': ['Systemic treatments (e.g., Methotrexate)', 'biologics (e.g., Adalimumab)']}","['Balanced Diet', 'Anti-Inflammatory Foods']","['Avoid Triggers', 'Skin Care']",['Dermatologist'],"{'Initial Care': 'Topical treatments, lifestyle modifications.', 'Ongoing Care': 'Regular monitoring, adjustments to treatment.'}","['Regular skin assessments', 'Monitoring for treatment side effects']","['Skin Care', 'Trigger Management']",Chronic Condition: Requires ongoing management to control symptoms and prevent flare-ups.
Gout,"{'Mild': 'Intermittent attacks, manageable with medication.', 'Moderate to Severe': 'Frequent attacks, potential joint damage.'}","{'Early': 'Sudden, severe pain in joints, often the big toe.', 'Progressing': 'Frequent attacks, joint swelling, redness.', 'Severe': 'Severe pain, joint damage, persistent swelling.'}","{'First-Line': ['Nonsteroidal anti-inflammatory drugs (NSAIDs) (e.g., Indomethacin)', 'Colchicine'], 'Alternative': ['Urate-lowering therapies (e.g., Allopurinol)']}","['Low-Purine Diet', 'Hydration']","['Avoid High-Purine Foods', 'Regular Monitoring']",['Rheumatologist'],"{'Initial Care': 'Medication to manage acute attacks.', 'Ongoing Care': 'Urate-lowering therapies, lifestyle modifications.'}","['Regular uric acid level tests', 'Monitoring for joint damage']","['Dietary Management', 'Attack Prevention']",Chronic Condition: Requires ongoing management to control symptoms and prevent attacks.
Bipolar Disorder,"{'Mild': 'Manageable with medication and therapy.', 'Moderate to Severe': 'Significant mood swings, impact on daily life.'}","{'Early': 'Mood swings, irritability, changes in energy levels.', 'Progressing': 'Severe manic or depressive episodes.', 'Severe': 'Major mood disturbances, significant impact on daily functioning.'}","{'First-Line': ['Mood stabilizers (e.g., Lithium)', 'antipsychotics (e.g., Quetiapine)'], 'Alternative': ['Antidepressants (with caution)']}","['Balanced Diet', 'Regular Meals']","['Medication Adherence', 'Regular Psychiatric Follow-Up']",['Psychiatrist'],"{'Initial Care': 'Medication, therapy.', 'Ongoing Care': 'Regular monitoring, adjustments to treatment.'}","['Regular psychiatric evaluations', 'Monitoring for side effects']","['Mood Management', 'Medication Adherence']",Chronic Condition: Requires ongoing management to control mood swings and maintain stability.
Chronic Obstructive Pulmonary Disease (COPD),"{'Mild': 'Manageable with medication and lifestyle changes.', 'Moderate to Severe': 'Significant breathing difficulties, frequent exacerbations.'}","{'Early': 'Persistent cough, shortness of breath.', 'Progressing': 'Wheezing, increased mucus production.', 'Severe': 'Severe breathlessness, frequent respiratory infections.'}","{'First-Line': ['Bronchodilators (e.g., Albuterol)', 'Inhaled corticosteroids (e.g., Fluticasone)'], 'Alternative': ['Phosphodiesterase-4 inhibitors (e.g., Roflumilast)']}","['High-Calorie Diet', 'Hydration']","['Avoid Smoking', 'Regular Monitoring']",['Pulmonologist'],"{'Initial Care': 'Medication, lifestyle changes (e.g., smoking cessation).', 'Ongoing Care': 'Regular pulmonary function tests, management of exacerbations.'}","['Regular lung function tests', 'Monitoring for respiratory infections']","['Breathing Techniques', 'Lifestyle Adjustments']",Chronic Condition: Requires ongoing management to control symptoms and improve quality of life.
Chronic Fatigue Syndrome (CFS),"{'Mild': 'Manageable with lifestyle changes and rest.', 'Moderate to Severe': 'Significant fatigue, impact on daily functioning.'}","{'Early': 'Persistent fatigue, sleep disturbances.', 'Progressing': 'Severe fatigue, cognitive difficulties, muscle pain.', 'Severe': 'Debilitating fatigue, significant impact on daily activities.'}","{'First-Line': ['Antidepressants (e.g., Duloxetine)', 'Pain relievers (e.g., Acetaminophen)'], 'Alternative': ['Medications for sleep disturbances']}","['Balanced Diet', 'Hydration']","['Pacing Activities', 'Stress Management']","['Rheumatologist', 'Infectious Disease Specialist']","{'Initial Care': 'Medication, lifestyle adjustments.', 'Ongoing Care': 'Regular monitoring, adjustment of treatment based on symptom management.'}","['Regular evaluations', 'Management of symptoms']","['Energy Management', 'Lifestyle Adjustments']",Chronic Condition: Requires ongoing management to control symptoms and improve quality of life.
Multiple Sclerosis,"{'Mild': 'Manageable with medication and lifestyle changes.', 'Moderate to Severe': 'Significant neurological impairment, frequent relapses.'}","{'Early': 'Numbness, tingling, and fatigue.', 'Progressing': 'Difficulty with movement, vision problems, muscle weakness.', 'Severe': 'Severe motor and cognitive impairment, loss of function.'}","{'First-Line': ['Disease-modifying therapies (e.g., Interferon beta)', 'Corticosteroids (e.g., Prednisone)'], 'Alternative': ['Immunosuppressants (e.g., Mitoxantrone)', 'Monoclonal antibodies (e.g., Natalizumab)']}","['Balanced Diet', 'Anti-Inflammatory Foods']","['Regular Monitoring', 'Fall Prevention']",['Neurologist'],"{'Initial Care': 'Medication to manage symptoms and reduce relapses.', 'Ongoing Care': 'Regular follow-ups to adjust treatment and monitor disease progression.'}","['Regular neurological assessments', 'Monitoring for side effects']","['Disease Management', 'Lifestyle Adjustments']",Chronic Condition: Requires lifelong management to control symptoms and maintain quality of life.
Lupus,"{'Mild': 'Manageable with medication and lifestyle adjustments.', 'Moderate to Severe': 'Significant impact on multiple organ systems.'}","{'Early': 'Fatigue, joint pain, and rash.', 'Progressing': 'Fever, weight loss, and kidney issues.', 'Severe': 'Major organ involvement, severe fatigue, and systemic inflammation.'}","{'First-Line': ['Antimalarials (e.g., Hydroxychloroquine)', 'NSAIDs (e.g., Ibuprofen)'], 'Alternative': ['Immunosuppressants (e.g., Azathioprine)', 'Biologics (e.g., Belimumab)']}","['Balanced Diet', 'Anti-Inflammatory Foods']","['Regular Monitoring', 'Sun Protection']",['Rheumatologist'],"{'Initial Care': 'Medication to manage symptoms and prevent flare-ups.', 'Ongoing Care': 'Regular monitoring to adjust treatment based on disease activity.'}","['Regular check-ups', 'Monitoring for organ involvement']","['Disease Management', 'Lifestyle Adjustments']",Chronic Condition: Requires ongoing management to control symptoms and prevent complications.
Scleroderma,"{'Mild': 'Manageable with medication and lifestyle changes.', 'Moderate to Severe': 'Significant skin thickening, organ involvement.'}","{'Early': 'Skin changes, such as thickening and tightening.', 'Progressing': 'Joint pain, difficulty swallowing, and lung involvement.', 'Severe': 'Extensive skin changes, significant organ damage, and reduced mobility.'}","{'First-Line': ['Immunosuppressants (e.g., Methotrexate)', 'Anti-inflammatory drugs (e.g., NSAIDs)'], 'Alternative': ['Biologics (e.g., Rituximab)', 'Vasodilators (e.g., Bosentan)']}","['Balanced Diet', 'Hydration']","['Regular Monitoring', 'Avoid Cold Exposure']",['Rheumatologist'],"{'Initial Care': 'Medication and lifestyle modifications to manage symptoms.', 'Ongoing Care': 'Regular follow-ups to monitor disease progression and adjust treatment.'}","['Regular skin and organ assessments', 'Monitoring for complications']","['Skin Care', 'Disease Management']",Chronic Condition: Requires ongoing management to control symptoms and prevent complications.
Myasthenia Gravis,"{'Mild': 'Manageable with medication.', 'Moderate to Severe': 'Significant muscle weakness, potential respiratory involvement.'}","{'Early': 'Muscle weakness, particularly in the eyes and face.', 'Progressing': 'Difficulty with swallowing, speaking, and breathing.', 'Severe': 'Severe muscle weakness, risk of myasthenic crisis.'}","{'First-Line': ['Anticholinesterase agents (e.g., Pyridostigmine)', 'Immunosuppressants (e.g., Prednisone)'], 'Alternative': ['Intravenous immunoglobulin (IVIG)', 'Plasmapheresis']}","['Balanced Diet', 'Soft Foods if Swallowing Difficulty']","['Regular Monitoring', 'Emergency Preparedness']",['Neurologist'],"{'Initial Care': 'Medication to manage muscle weakness and prevent crises.', 'Ongoing Care': 'Regular monitoring to adjust treatment and manage symptoms.'}","['Regular neurological assessments', 'Monitoring for medication side effects']","['Disease Management', 'Emergency Response']",Chronic Condition: Requires ongoing management to control symptoms and prevent exacerbations.
Amyotrophic Lateral Sclerosis (ALS),"{'Mild': 'Early symptoms, manageable with supportive care.', 'Moderate to Severe': 'Progressive muscle weakness, significant impact on daily life.'}","{'Early': 'Muscle weakness, twitching, and difficulty with fine motor skills.', 'Progressing': 'Increased muscle weakness, difficulty speaking and swallowing.', 'Severe': 'Severe muscle atrophy, respiratory failure, and loss of mobility.'}","{'First-Line': ['Riluzole', 'Edaravone'], 'Alternative': ['Medications for symptom management (e.g., Baclofen for spasticity)']}","['Balanced Diet', 'Nutritional Supplements']","['Regular Monitoring', 'Supportive Care']",['Neurologist'],"{'Initial Care': 'Medication to slow disease progression and supportive care.', 'Ongoing Care': 'Regular monitoring, physical therapy, and symptom management.'}","['Regular neurological assessments', 'Monitoring for complications']","['Disease Management', 'Supportive Care']",Progressive Condition: Requires ongoing management and supportive care to improve quality of life.
Huntington's Disease,"{'Mild': 'Early cognitive and motor symptoms.', 'Moderate to Severe': 'Progressive motor dysfunction, significant cognitive decline.'}","{'Early': 'Uncontrolled movements, changes in behavior, and mood swings.', 'Progressing': 'Severe motor impairment, cognitive decline, and psychiatric symptoms.', 'Severe': 'Complete loss of motor control, severe cognitive decline, and loss of independence.'}","{'First-Line': ['Tetrabenazine', 'Antipsychotics (e.g., Olanzapine)'], 'Alternative': ['Antidepressants (e.g., Sertraline)']}","['Balanced Diet', 'Nutritional Supplements']","['Regular Monitoring', 'Supportive Care']",['Neurologist'],"{'Initial Care': 'Medication to manage symptoms and improve quality of life.', 'Ongoing Care': 'Regular monitoring, physical therapy, and support for daily living activities.'}","['Regular neurological assessments', 'Monitoring for complications']","['Disease Management', 'Support Services']",Progressive Condition: Requires ongoing management and supportive care to maintain quality of life.
Cystic Fibrosis,"{'Mild': 'Manageable with medication and lifestyle changes.', 'Moderate to Severe': 'Significant respiratory and digestive problems.'}","{'Early': 'Persistent cough, frequent lung infections, digestive issues.', 'Progressing': 'Severe lung damage, malabsorption, and nutritional deficiencies.', 'Severe': 'Respiratory failure, severe digestive problems, and reduced life expectancy.'}","{'First-Line': ['Mucolytics (e.g., Dornase alfa)', 'Bronchodilators (e.g., Albuterol)'], 'Alternative': ['CFTR modulators (e.g., Ivacaftor)', 'Antibiotics for lung infections']}","['High-Calorie Diet', 'Pancreatic Enzymes']","['Regular Monitoring', 'Avoid Respiratory Infections']",['Pulmonologist'],"{'Initial Care': 'Medication to manage respiratory and digestive symptoms.', 'Ongoing Care': 'Regular follow-ups to monitor lung function and nutritional status.'}","['Regular lung function tests', 'Monitoring for complications']","['Disease Management', 'Nutritional Support']",Chronic Condition: Requires ongoing management to control symptoms and improve quality of life.
Pulmonary Hypertension,"{'Mild': 'Manageable with medication and lifestyle changes.', 'Moderate to Severe': 'Significant impact on heart and lung function.'}","{'Early': 'Shortness of breath, fatigue, and dizziness.', 'Progressing': 'Severe breathlessness, chest pain, and swelling of the legs.', 'Severe': 'Right heart failure, severe breathing difficulties, and reduced exercise capacity.'}","{'First-Line': ['Endothelin receptor antagonists (e.g., Bosentan)', 'Phosphodiesterase-5 inhibitors (e.g., Sildenafil)'], 'Alternative': ['Prostacyclin analogs (e.g., Epoprostenol)', 'Soluble guanylate cyclase stimulators (e.g., Riociguat)']}","['Balanced Diet', 'Low-Sodium Diet']","['Regular Monitoring', 'Avoid Physical Exertion']",['Pulmonologist'],"{'Initial Care': 'Medication to manage pulmonary pressure and symptoms.', 'Ongoing Care': 'Regular monitoring to adjust treatment and manage disease progression.'}","['Regular pulmonary function tests', 'Monitoring for side effects']","['Disease Management', 'Lifestyle Adjustments']",Chronic Condition: Requires ongoing management to control symptoms and improve quality of life.
Idiopathic Pulmonary Fibrosis,"{'Mild': 'Manageable with medication and lifestyle changes.', 'Moderate to Severe': 'Significant lung scarring and impaired lung function.'}","{'Early': 'Persistent dry cough, shortness of breath.', 'Progressing': 'Worsening breathlessness, fatigue, and clubbing of fingers.', 'Severe': 'Severe respiratory impairment, oxygen dependence, and reduced life expectancy.'}","{'First-Line': ['Antifibrotic agents (e.g., Pirfenidone, Nintedanib)'], 'Alternative': ['Medications to manage symptoms and complications']}","['Balanced Diet', 'Nutritional Support']","['Regular Monitoring', 'Avoid Respiratory Infections']",['Pulmonologist'],"{'Initial Care': 'Medication to slow fibrosis progression and manage symptoms.', 'Ongoing Care': 'Regular monitoring to assess lung function and adjust treatment.'}","['Regular lung function tests', 'Monitoring for complications']","['Disease Management', 'Supportive Care']",Progressive Condition: Requires ongoing management and supportive care to improve quality of life.
Autoimmune Hepatitis,"{'Mild': 'Manageable with medication and lifestyle changes.', 'Moderate to Severe': 'Significant liver inflammation and damage.'}","{'Early': 'Fatigue, joint pain, and jaundice.', 'Progressing': 'Abdominal pain, liver enlargement, and skin rash.', 'Severe': 'Severe liver dysfunction, potential liver failure.'}","{'First-Line': ['Corticosteroids (e.g., Prednisone)', 'Immunosuppressants (e.g., Azathioprine)'], 'Alternative': ['Biologics in severe cases']}","['Balanced Diet', 'Low-Sodium Diet']","['Regular Monitoring', 'Avoid Alcohol']",['Hepatologist'],"{'Initial Care': 'Medication to manage liver inflammation and prevent progression.', 'Ongoing Care': 'Regular liver function tests and adjustment of treatment as needed.'}","['Regular liver function tests', 'Monitoring for complications']","['Disease Management', 'Lifestyle Adjustments']",Chronic Condition: Requires ongoing management to control symptoms and prevent liver damage.
Hyperthyroidism,"{'Mild': 'Manageable with medication.', 'Moderate to Severe': 'Significant symptoms, potential complications.'}","{'Early': 'Weight loss, increased appetite, sweating.', 'Progressing': 'Rapid heartbeat, tremors, heat intolerance.', 'Severe': 'Severe weight loss, heart complications, osteoporosis.'}","{'First-Line': ['Antithyroid drugs (e.g., Methimazole, Propylthiouracil)'], 'Alternative': ['Beta-blockers (e.g., Propranolol)', 'Radioactive iodine']}","['Balanced Diet', 'Adequate Calcium and Vitamin D']","['Regular Monitoring', 'Avoid Excessive Iodine']",['Endocrinologist'],"{'Initial Care': 'Medication to manage thyroid hormone levels.', 'Ongoing Care': 'Regular thyroid function tests and adjustment of treatment.'}","['Regular thyroid function tests', 'Monitoring for side effects']","['Disease Management', 'Medication Adherence']",Chronic Condition: Requires ongoing management to control symptoms and prevent complications.
Hypothyroidism,"{'Mild': 'Manageable with medication.', 'Moderate to Severe': 'Significant symptoms, potential complications.'}","{'Early': 'Fatigue, weight gain, cold intolerance.', 'Progressing': 'Constipation, dry skin, hair loss.', 'Severe': 'Severe lethargy, heart problems, myxedema coma.'}","{'First-Line': ['Thyroid hormone replacement (e.g., Levothyroxine)'], 'Alternative': ['Liothyronine if needed']}","['Balanced Diet', 'Adequate Iodine']","['Regular Monitoring', 'Avoid Excessive Soy']",['Endocrinologist'],"{'Initial Care': 'Thyroid hormone replacement to normalize levels.', 'Ongoing Care': 'Regular thyroid function tests and adjustment of medication dosage.'}","['Regular thyroid function tests', 'Monitoring for symptoms']","['Disease Management', 'Medication Adherence']",Chronic Condition: Requires ongoing management to maintain normal thyroid function.
